StockPros AI — Portfolio Health Report

Report Summary
Total Market Value,"$80,390.40"
Unrealized P&L,"+$16,787.40"
Overall ROI,26.39%
Active Positions,4
Portfolio Beta,1.00
Portfolio Sharpe Ratio,1.25
Risk Profile,Moderate
Generated At,"September 4, 2026 at 5:59 PM"

Position Analysis
Symbol,Sector,Quantity,Entry Price,Current Price,Market Value,Unrealized P&L,ROI %,Beta,Sharpe Ratio,Market Decision,Portfolio Decision,Confidence %,Risk Level,Position Exposure %,Sector Exposure %,Over Exposed,Hold Duration,Take Profit Zone,Stop Loss Zone,AI Reasoning,Risk Flags,Watch For
AAPL,Technology,120,210.40,328.21,39385.20,14137.20,55.99,1.00,1.74,BUY,TRIM,66,HIGH,48.99,80.72,YES,2–10 days,361.03,311.80,Risk metrics indicate reducing this position size to improve portfolio balance.,Heavily concentrated position; Critical sector over-exposure; Strong gains — consider profit-taking,Volume spikes; RSI divergence; Sector momentum
MSFT,Technology,50,345.10,510.12,25506.00,8251.00,47.82,1.00,1.20,HOLD / CAUTION,TRIM,66,HIGH,31.73,80.72,YES,2–10 days,561.13,484.61,Risk metrics indicate reducing this position size to improve portfolio balance.,Heavily concentrated position; Critical sector over-exposure; Strong gains — consider profit-taking,Volume spikes; RSI divergence; Sector momentum
NVDA,Semiconductors,20,680.00,228.45,4569.00,-9031.00,-66.40,1.00,1.13,BUY,EXIT,81,MEDIUM,5.68,5.68,NO,5–20 days,251.30,217.03,Critical risk detected — position should be closed to protect portfolio health.,Significant unrealized loss,Volume spikes; RSI divergence; Sector momentum
TSLA,Automobiles,30,250.00,364.34,10930.20,3430.20,45.74,1.00,-0.32,HOLD / CAUTION,HOLD,93,MEDIUM,13.60,13.60,NO,5–20 days,400.77,346.12,Technicals and portfolio health are aligned — maintain current position.,Strong gains — consider profit-taking,Volume spikes; RSI divergence; Sector momentum

Note,"Portfolio analysis is generated by AI models based on position data, market signals, and technical indicators. This report is for informational and educational purposes only and does not constitute personalized financial, legal, tax, or fiduciary advice."
